호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,아현,17,3,4725,1249,9063,7355,24269,10264,32537,20442,19234,11203,14057,9003,13727,8763,15019,10478,14232,11680,13962,12106,15669,12915,18793,14780,18031,19855,18451,28158,11156,22120,7467,14130,5766,13227,4017,12350,1566,7870,4,20,1,10,0,0,0,0
2호선,충정로(경기대입구),28,0,3064,981,5849,5120,13700,19036,19015,54905,12461,26072,9948,11657,10573,9415,10579,8650,11215,10832,11334,10121,12381,10670,15118,11224,23419,14497,45416,19233,15468,14262,9453,8898,8418,8831,6565,7954,2270,5551,8,153,1,3,0,1,0,0
2호선,용답,29,0,2366,210,3018,868,6931,1635,10970,2797,5497,1748,3724,1921,3333,2093,3601,2455,3952,2667,3620,3181,3344,3800,3717,5051,4181,5946,3599,9183,2164,6203,1360,3816,1146,4695,977,4286,349,2887,0,2,0,2,0,0,0,0
2호선,신답,0,0,942,134,1598,514,5377,784,8444,1761,3483,1032,1932,869,1719,1109,1829,1203,1774,1383,1597,1577,1495,2128,1511,2804,1982,3806,2131,8050,943,6052,559,2882,451,2892,479,2167,107,1755,2,27,0,1,0,0,0,0
2호선,신설동,19,0,1190,484,1104,1700,2824,4438,5172,11293,3819,7634,3530,5992,4268,6208,5451,6356,6375,6683,7347,6057,8061,5229,8807,4310,10829,4311,10111,5124,4207,3665,2457,2296,2196,1903,1577,1747,468,1201,10,351,0,4,0,0,0,0
2호선,도림천,20,0,263,240,922,698,2553,3877,2685,5458,1750,1991,1754,1445,1487,1183,2209,1700,1548,1319,1974,1683,2413,1371,2414,1619,2849,1795,3208,2412,1741,2215,775,1328,679,1120,356,988,157,689,0,71,0,0,0,0,0,0
2호선,양천구청,5,0,4137,881,10011,2019,28547,4763,25977,9574,14325,5485,9510,4038,9210,4454,10039,5563,9014,6917,6991,7164,6686,8794,7812,10726,8520,16018,8428,26006,3792,22900,2557,12683,2416,11243,2176,9865,626,7222,2,759,4,2,0,0,0,0
2호선,신정네거리,78,1,7413,1442,13359,6365,40406,4837,38108,11978,20520,7477,13688,6446,12646,7915,13079,8336,12697,9924,10941,10514,10375,13484,12961,17052,14054,23748,11391,39450,6538,32356,5005,17550,3811,14445,3115,13419,1153,8728,11,768,0,5,0,0,0,0
2호선,용두(동대문구청),18,0,986,212,1372,745,4064,2161,6729,5782,3589,3294,2856,2766,3216,3061,3436,2829,3389,3491,3581,3700,3915,3954,4121,3581,4452,3946,5329,6499,2189,4713,1339,2509,1170,2402,827,1882,245,1329,0,35,0,0,0,0,0,0
3호선,지축,3,0,1141,283,4834,2146,14816,2622,14062,2888,6728,2049,4591,2188,4413,2874,4242,3133,3833,3210,3733,3197,4080,4019,5001,5063,5328,6317,3910,12342,1845,9829,1204,6843,859,5255,670,5502,191,2844,3,15,0,1,0,0,0,0
3호선,구파발,117,2,8785,1344,26909,8699,75107,22139,74470,28874,37745,29715,26617,28051,25901,22397,27357,24064,26258,24435,26632,24687,30608,24763,35645,29061,36887,37492,31751,62163,18937,53960,13990,31141,12509,27453,10254,22110,2248,20903,17,2438,0,25,0,2,0,0
3호선,연신내,297,16,24709,1790,46123,11128,122445,21301,145940,32775,80623,33542,55953,33315,51574,34344,54367,36863,53092,40580,49805,42101,49663,51770,54956,62507,54432,79844,49089,127543,34705,114883,26571,64731,24214,60189,20859,51444,7469,36808,28,2581,11,30,0,0,0,0
3호선,불광,31,1,8277,821,17317,5658,46065,10107,55820,32510,30805,34455,22248,27052,21520,22890,22803,23135,24191,25277,24257,24916,25268,27159,26645,30485,29096,36729,30562,54272,17896,44041,12767,26226,11379,21230,8287,19075,2566,12863,12,486,3,13,0,0,0,0
3호선,녹번,43,3,8178,676,20933,5650,57425,7039,66172,16403,36110,9152,22464,8257,18784,9203,18424,10184,17512,11269,15702,12631,14372,15937,15938,20309,17413,28618,18887,51167,8890,44242,6178,26333,5334,22855,3883,20380,1083,12811,2,139,1,6,0,0,0,0
3호선,홍제,64,1,8653,1375,18794,9513,54259,10574,62424,23521,37836,17812,27395,16645,25771,16154,26766,17837,25063,19432,23484,21047,23259,25089,26676,29206,29028,36613,26334,55681,14272,46121,10477,26751,8232,24143,6071,19600,1947,13518,6,23,1,11,0,0,0,0
3호선,무악재,17,2,1670,388,4490,2149,13150,2785,14922,5551,8985,3349,6289,3232,5610,3515,5295,3554,5076,4067,4482,4485,4219,5237,5255,6671,5769,8114,6071,13703,2825,11695,1990,7127,1587,6082,1296,5556,480,4025,0,10,1,3,0,0,0,0
3호선,독립문,78,1,4683,612,5437,5104,14181,13423,17649,20245,13271,15030,11990,14752,11785,11826,12516,10915,12310,12192,13539,11118,13928,10867,15547,11857,14372,13433,15797,16521,7479,13154,4970,7908,4019,7203,2922,6264,737,4164,9,3437,0,3,0,0,0,0
3호선,경복궁(정부서울청사),61,2,2338,1262,4888,12283,11191,37947,17115,95184,16605,46760,12865,28860,14749,27802,16618,27387,21075,30709,25215,28141,32390,23829,40637,24019,57491,25895,88005,31816,38099,21413,30840,10169,31676,8644,20997,7748,6457,4963,11,227,2,3,0,0,0,0
3호선,안국,12,0,1642,1375,2845,18076,5002,83768,7631,92668,7834,51279,8715,33730,11451,35924,16326,32621,18821,35006,24738,32425,36055,25702,42486,22868,88918,21071,99072,20500,41314,9983,31314,4983,28022,3931,16592,3486,4374,2501,6,56,0,4,0,0,0,0
